FID;Shape *;GMDNR;CODE_ISO;GMDNAME;AREA_HA;ACODE;ACAT;ANAME;E_CNTR;N_CNTR
0;Polygon;5240;CH;Val Mara;1115;T_5192;4;Lugano (CH);2720100;1086500
1;Polygon;1;CH;Aeugst am Albis;791;261;4;Zürich;2679300;1235700
2;Polygon;10;CH;Obfelden;754;261;4;Zürich;2675100;1235300
3;Polygon;100;CH;Stadel;1289;261;4;Zürich;2677500;1264700
4;Polygon;101;CH;Steinmaur;939;261;4;Zürich;2676600;1261500
5;Polygon;102;CH;Weiach;958;261;4;Zürich;2675200;1267800
6;Polygon;1024;CH;Emmen;2037;1061;2;Luzern;2664800;1214100
7;Polygon;1026;CH;Eschenbach (LU);1321;1061;4;Luzern;2666900;1220500
8;Polygon;1033;CH;Inwil;1032;1061;4;Luzern;2669200;1219500
9;Polygon;1037;CH;Rain;942;1061;4;Luzern;2661900;1220000
10;Polygon;1040;CH;Rothenburg;1549;1061;2;Luzern;2663000;1216600
11;Polygon;1051;CH;Adligenswil;699;1061;2;Luzern;2670300;1213700
12;Polygon;1052;CH;Buchrain;480;1061;2;Luzern;2669000;1216500
13;Polygon;1053;CH;Dierikon;278;1061;2;Luzern;2670800;1216700
14;Polygon;1054;CH;Ebikon;968;1061;2;Luzern;2668600;1215000
15;Polygon;1058;CH;Horw;1286;1061;2;Luzern;2666300;1207900
16;Polygon;1059;CH;Kriens;2730;1061;2;Luzern;2663800;1209600
17;Polygon;1061;CH;Luzern;2910;1061;1;Luzern;2666200;1211800
18;Polygon;1062;CH;Malters;2857;1061;4;Luzern;2656700;1209800
19;Polygon;1063;CH;Meggen;727;1061;2;Luzern;2671000;1211000
20;Polygon;1064;CH;Meierskappel;680;1711;4;Zug;2676200;1219800
21;Polygon;1066;CH;Schwarzenberg;3930;1061;4;Luzern;2655900;1207600
22;Polygon;1067;CH;Udligenswil;622;1061;4;Luzern;2673100;1215900
23;Polygon;1088;CH;Hildisrieden;704;1061;4;Luzern;2660000;1222500
24;Polygon;1093;CH;Neuenkirch;2548;1061;4;Luzern;2658100;1216700
25;Polygon;1095;CH;Oberkirch;910;91103;6;Sursee;2651300;1223000
26;Polygon;1099;CH;Schenkon;674;91103;6;Sursee;2653100;1224800
27;Polygon;11;CH;Ottenbach;502;261;4;Zürich;2673000;1237200
28;Polygon;1103;CH;Sursee;583;91103;6;Sursee;2650700;1224700
29;Polygon;111;CH;Bäretswil;2219;261;4;Zürich;2707200;1243800
30;Polygon;112;CH;Bubikon;1161;261;4;Zürich;2704400;1236300
31;Polygon;113;CH;Dürnten;1022;3336;2;Rapperswil-Jona – Rüti;2706200;1237200
32;Polygon;1147;CH;Wikon;828;2581;2;Olten – Zofingen;2640300;1234700
33;Polygon;115;CH;Gossau (ZH);1826;261;4;Zürich;2699600;1240400
34;Polygon;116;CH;Grüningen;879;261;4;Zürich;2700200;1237900
35;Polygon;117;CH;Hinwil;2228;261;4;Zürich;2706400;1239800
36;Polygon;118;CH;Rüti (ZH);1006;3336;1;Rapperswil-Jona – Rüti;2707000;1235300
37;Polygon;119;CH;Seegräben;377;261;4;Zürich;2700800;1244300
38;Polygon;12;CH;Rifferswil;651;261;4;Zürich;2680100;1232800
39;Polygon;1201;CH;Altdorf (UR);1021;1201;1;Altdorf (UR);2691800;1192900
40;Polygon;1203;CH;Attinghausen;4689;1201;2;Altdorf (UR);2690900;1190700
41;Polygon;1205;CH;Bürglen (UR);5306;1201;2;Altdorf (UR);2693300;1192300
42;Polygon;1206;CH;Erstfeld;5908;1201;4;Altdorf (UR);2692500;1186300
43;Polygon;1207;CH;Flüelen;1239;1201;2;Altdorf (UR);2690400;1195600
44;Polygon;121;CH;Wetzikon (ZH);1681;261;3;Zürich;2702700;1242100
45;Polygon;1211;CH;Isenthal;6097;1201;4;Altdorf (UR);2685500;1196100
46;Polygon;1213;CH;Schattdorf;1633;1201;2;Altdorf (UR);2692800;1191000
47;Polygon;1214;CH;Seedorf (UR);1929;1201;4;Altdorf (UR);2689500;1192800
48;Polygon;1216;CH;Silenen;14478;1201;4;Altdorf (UR);2694100;1182900
49;Polygon;1218;CH;Spiringen;6468;1201;4;Altdorf (UR);2698300;1192100
50;Polygon;1219;CH;Unterschächen;8028;1201;4;Altdorf (UR);2701500;1191100
51;Polygon;13;CH;Stallikon;1202;261;4;Zürich;2679500;1242100
52;Polygon;1301;CH;Einsiedeln;9893;91301;6;Einsiedeln;2699800;1220400
53;Polygon;131;CH;Adliswil;777;261;2;Zürich;2682200;1240700
54;Polygon;1321;CH;Feusisberg;1750;261;4;Zürich;2699200;1227100
55;Polygon;1322;CH;Freienbach;1379;261;3;Zürich;2701400;1228700
56;Polygon;1323;CH;Wollerau;631;261;3;Zürich;2697100;1228000
57;Polygon;1341;CH;Altendorf;2041;1344;1;Lachen;2705500;1227700
58;Polygon;1344;CH;Lachen;242;1344;1;Lachen;2707200;1227700
59;Polygon;1346;CH;Schübelbach;2901;1344;1;Lachen;2712900;1225800
60;Polygon;1349;CH;Wangen (SZ);846;1344;2;Lachen;2710400;1227700
61;Polygon;135;CH;Kilchberg (ZH);258;261;2;Zürich;2683400;1241300
62;Polygon;136;CH;Langnau am Albis;867;261;2;Zürich;2683400;1238100
63;Polygon;1362;CH;Arth;4204;91362;6;Arth;2683500;1212100
64;Polygon;137;CH;Oberrieden;279;261;2;Zürich;2686300;1236800
65;Polygon;1372;CH;Schwyz;5318;91372;6;Schwyz;2692400;1208500
66;Polygon;138;CH;Richterswil;753;261;3;Zürich;2696000;1229300
67;Polygon;139;CH;Rüschlikon;293;261;2;Zürich;2684400;1240400
68;Polygon;14;CH;Wettswil am Albis;377;261;4;Zürich;2678200;1243700
69;Polygon;1407;CH;Sarnen;7311;91407;6;Sarnen;2661400;1194200
70;Polygon;141;CH;Thalwil;550;261;2;Zürich;2685500;1238300
71;Polygon;1507;CH;Hergiswil (NW);1430;1061;4;Luzern;2666400;1204400
72;Polygon;1508;CH;Oberdorf (NW);1620;91509;6;Stans;2672100;1201200
73;Polygon;1509;CH;Stans;1108;91509;6;Stans;2670600;1201100
74;Polygon;151;CH;Erlenbach (ZH);289;261;2;Zürich;2687200;1239800
75;Polygon;1510;CH;Stansstad;907;91509;6;Stans;2668500;1203300
76;Polygon;152;CH;Herrliberg;899;261;2;Zürich;2688700;1237700
77;Polygon;153;CH;Hombrechtikon;1218;261;4;Zürich;2700500;1234300
78;Polygon;154;CH;Küsnacht (ZH);1236;261;2;Zürich;2686600;1241300
79;Polygon;155;CH;Männedorf;477;261;3;Zürich;2695200;1234400
80;Polygon;156;CH;Meilen;1194;261;3;Zürich;2691300;1236100
81;Polygon;157;CH;Oetwil am See;611;261;4;Zürich;2697000;1236300
82;Polygon;158;CH;Stäfa;859;261;3;Zürich;2697000;1233000
83;Polygon;159;CH;Uetikon am See;346;261;3;Zürich;2693800;1235400
84;Polygon;160;CH;Zumikon;548;261;2;Zürich;2689700;1242900
85;Polygon;161;CH;Zollikon;785;261;2;Zürich;2685800;1243800
86;Polygon;1630;CH;Glarus Nord;14700;1630;1;Glarus;2723200;1217800
87;Polygon;1632;CH;Glarus;10367;1630;1;Glarus;2723700;1211300
88;Polygon;1701;CH;Baar;2485;1711;2;Zug;2682600;1227800
89;Polygon;1702;CH;Cham;1773;1711;2;Zug;2677400;1226100
90;Polygon;1703;CH;Hünenberg;1841;1711;2;Zug;2674900;1225200
91;Polygon;1704;CH;Menzingen;2751;1711;4;Zug;2687300;1226000
92;Polygon;1705;CH;Neuheim;793;1711;4;Zug;2686100;1228900
93;Polygon;1706;CH;Oberägeri;3004;1711;3;Zug;2689200;1221100
94;Polygon;1707;CH;Risch;1486;1711;3;Zug;2675100;1221600
95;Polygon;1708;CH;Steinhausen;504;1711;2;Zug;2679300;1227900
96;Polygon;1709;CH;Unterägeri;2561;1711;3;Zug;2686900;1221300
97;Polygon;1710;CH;Walchwil;1355;1711;4;Zug;2681700;1217200
98;Polygon;1711;CH;Zug;2162;1711;1;Zug;2681800;1224700
99;Polygon;172;CH;Fehraltorf;947;261;4;Zürich;2699200;1249400
100;Polygon;173;CH;Hittnau;1295;261;4;Zürich;2704800;1246900
101;Polygon;176;CH;Lindau;1199;261;4;Zürich;2693000;1255300
102;Polygon;177;CH;Pfäffikon;1952;261;4;Zürich;2701700;1246900
103;Polygon;178;CH;Russikon;1421;261;4;Zürich;2701000;1250200
104;Polygon;180;CH;Weisslingen;1281;261;4;Zürich;2700000;1254300
105;Polygon;182;CH;Wildberg;1057;261;4;Zürich;2704000;1253800
106;Polygon;191;CH;Dübendorf;1362;261;2;Zürich;2689300;1250400
107;Polygon;192;CH;Egg;1453;261;4;Zürich;2694700;1239600
108;Polygon;193;CH;Fällanden;638;261;4;Zürich;2690700;1247300
109;Polygon;194;CH;Greifensee;227;261;2;Zürich;2693600;1246800
110;Polygon;195;CH;Maur;1477;261;4;Zürich;2693000;1244000
111;Polygon;196;CH;Mönchaltorf;759;261;4;Zürich;2697000;1240700
112;Polygon;197;CH;Schwerzenbach;262;261;2;Zürich;2692200;1248800
113;Polygon;198;CH;Uster;2849;261;3;Zürich;2696700;1245000
114;Polygon;199;CH;Volketswil;1404;261;2;Zürich;2694800;1249500
115;Polygon;2;CH;Affoltern am Albis;1059;261;3;Zürich;2676800;1236800
116;Polygon;200;CH;Wangen-Brüttisellen;792;261;2;Zürich;2691100;1251800
117;Polygon;2061;CH;Auboranges;193;5586;4;Lausanne;2551500;1159200
118;Polygon;2066;CH;Chapelle (Glâne);203;5586;4;Lausanne;2553700;1159800
119;Polygon;2072;CH;Ecublens (FR);488;5586;4;Lausanne;2551800;1162200
120;Polygon;2089;CH;Montet (Glâne);220;5586;4;Lausanne;2552200;1166100
121;Polygon;2124;CH;Broc;1003;2125;4;Bulle;2574000;1161400
122;Polygon;2125;CH;Bulle;2386;2125;1;Bulle;2570800;1162700
123;Polygon;213;CH;Brütten;660;261;4;Zürich;2693100;1258700
124;Polygon;2131;CH;Echarlens;465;2125;2;Bulle;2572100;1166400
125;Polygon;2143;CH;Morlon;264;2125;2;Bulle;2573000;1163900
126;Polygon;2145;CH;Le Pâquier (FR);450;2125;4;Bulle;2570600;1160300
127;Polygon;2148;CH;Riaz;775;2125;2;Bulle;2571100;1165500
